City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Lasa,IT,46.6166,10.7002,18.01,73,43,2.57,scattered clouds
79,Ikalamavony,MG,-21.15,46.5833,69.03,82,100,3.94,overcast clouds
80,Seoul,KR,37.5683,126.9778,36.79,75,75,5.75,mist
81,Vaini,TO,-21.2,-175.2,78.96,83,100,10.36,moderate rain
82,Beringovskiy,RU,63.05,179.3167,-7.64,94,12,4.83,few clouds
83,Tual,ID,-5.6667,132.75,81.75,74,98,5.5,overcast clouds
84,Hermanus,ZA,-34.4187,19.2345,67.8,97,80,6.53,moderate rain
85,Kaeo,NZ,-35.1,173.7833,68.13,92,34,8.08,scattered clouds
86,Watsa,CD,3.0372,29.5355,63.07,97,93,1.25,light rain
87,Punta Arenas,CL,-53.15,-70.9167,51.91,76,75,11.5,broken clouds
88,Yinchuan,CN,38.4681,106.2731,20.16,35,2,3.42,clear sky
89,Baiyin,CN,36.5583,104.2081,17.4,32,46,3.13,scattered clouds
90,Olinda,BR,-8.0089,-34.8553,80.33,74,75,6.91,broken clouds
91,Saldanha,ZA,-33.0117,17.9442,64.45,92,6,9.17,clear sky
92,Saskylakh,RU,71.9167,114.0833,-18.04,100,90,4.85,overcast clouds
93,Ambon,ID,-3.6954,128.1814,83.23,12,40,3.44,scattered clouds
94,Gat,IL,31.61,34.7642,62.4,33,49,5.01,scattered clouds
95,Merauke,ID,-8.4667,140.3333,81.84,79,100,5.1,overcast clouds
96,Bandarban,BD,22.1965,92.2262,56.8,82,2,2.48,clear sky
97,Ahipara,NZ,-35.1667,173.1667,71.24,72,17,2.55,few clouds
98,Sarkand,KZ,45.41,79.9186,18.46,67,2,5.84,clear sky
99,Kaitangata,NZ,-46.2817,169.8464,68.92,58,65,14.97,broken clouds
100,Areosa,PT,41.7178,-8.8571,59.04,98,100,8.93,overcast clouds
101,Sovetskiy,RU,61.3614,63.5842,-19.19,99,34,1.48,scattered clouds
102,Keetmanshoop,NA,-26.5833,18.1333,66.51,60,0,5.53,clear sky
103,Pisco,PE,-13.7,-76.2167,69.85,88,0,16.11,clear sky
104,Hilo,US,19.7297,-155.09,78.12,87,100,1.99,moderate rain
105,Eureka,US,40.8021,-124.1637,48.92,85,13,5.99,few clouds
106,Ukiah,US,39.1502,-123.2078,50.52,76,25,1.01,scattered clouds
107,Cockburn Town,TC,21.4612,-71.1419,76.14,65,0,7.67,clear sky
108,Yumen,CN,40.2833,97.2,10.54,56,4,8.77,clear sky
109,Nome,US,64.5011,-165.4064,21.11,94,93,11.74,overcast clouds
110,Hobart,AU,-42.8794,147.3294,64.26,53,75,19.57,broken clouds
111,Yellowknife,CA,62.456,-114.3525,-6.45,77,20,12.66,few clouds
112,San Cristobal,VE,7.7669,-72.225,69.98,88,77,0.96,broken clouds
113,Onega,RU,63.9061,38.1404,9.45,85,100,13.0,light snow
114,Torbay,CA,47.6666,-52.7314,33.58,95,100,10.36,overcast clouds
115,Parys,FR,48.8534,2.3488,28.78,88,0,9.22,clear sky
116,Nouakchott,MR,18.0858,-15.9785,73.33,26,0,10.96,clear sky
117,Pevek,RU,69.7008,170.3133,-13.07,95,100,25.57,light snow
118,Marystown,CA,47.1666,-55.1483,32.68,75,100,12.48,overcast clouds
119,Kholm-Zhirkovskiy,RU,55.5189,33.4731,17.46,95,93,7.52,overcast clouds
120,Kushiro,JP,42.975,144.3747,29.35,86,75,6.91,broken clouds
121,Kijang,KR,35.2442,129.2139,40.73,57,2,15.9,clear sky
122,Ocos,GT,14.5094,-92.1933,80.01,71,70,4.76,broken clouds
123,Cherskiy,RU,68.75,161.3,-31.18,97,100,12.64,overcast clouds
124,Teahupoo,PF,-17.8333,-149.2667,67.96,77,100,14.56,light rain
125,Talnakh,RU,69.4865,88.3972,-12.8,99,100,8.48,light snow
126,Tsuruoka,JP,38.7217,139.8217,46.44,66,75,11.5,broken clouds
127,Karratha,AU,-20.7377,116.8463,88.7,26,73,12.93,broken clouds
128,Elko,US,41.0002,-115.5012,25.23,89,100,7.0,light snow
129,Puerto Escondido,MX,15.85,-97.0667,78.17,76,88,4.97,overcast clouds
130,Pishin,PK,30.5803,66.9961,38.84,68,1,3.71,clear sky
131,Bage,BR,-31.3314,-54.1069,71.38,49,0,12.66,clear sky
132,Guiratinga,BR,-16.3494,-53.7583,75.76,74,98,2.3,overcast clouds
133,Rayong,TH,12.8333,101.4333,72.28,70,95,8.79,overcast clouds
134,Defiance,US,41.3334,-84.45,36.07,77,59,7.07,broken clouds
135,Santa Maria,BR,-29.6842,-53.8069,76.3,69,75,14.97,broken clouds
136,Ballina,AU,-28.8667,153.5667,77.02,67,2,10.89,clear sky
137,Punta De Piedra,VE,7.6176,-71.4916,76.06,77,58,1.79,broken clouds
138,Esperance,AU,-33.8667,121.9,62.31,63,45,12.48,scattered clouds
139,Asosa,ET,10.0667,34.5333,63.73,42,0,4.32,clear sky
140,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.51,97,100,0.65,light rain
141,Tasiilaq,GL,65.6145,-37.6368,12.33,75,97,6.35,overcast clouds
142,Hwange,ZW,-18.3693,26.5019,74.55,62,81,4.72,broken clouds
143,Konstantinovka,RU,49.6167,127.9833,4.64,96,100,5.95,overcast clouds
144,Araouane,ML,18.9048,-3.5265,71.35,14,0,7.14,clear sky
145,Elk Point,US,42.6833,-96.6836,33.1,97,100,18.23,light snow
146,Solnechnyy,RU,50.7214,136.6319,3.09,93,100,6.26,overcast clouds
147,Santa Rosa,PH,14.3122,121.1114,81.01,81,98,5.01,overcast clouds
148,Nanortalik,GL,60.1432,-45.2371,21.22,84,15,6.73,few clouds
149,Preeceville,CA,51.95,-102.6677,12.25,98,98,4.12,overcast clouds
150,Maldonado,UY,-34.6667,-54.9167,67.23,75,63,6.08,broken clouds
151,Vila Velha,BR,-20.3297,-40.2925,84.15,74,40,10.36,scattered clouds
152,Umm Lajj,SA,25.0213,37.2685,73.72,44,3,4.52,clear sky
153,Ryazan,RU,54.6197,39.74,32.05,95,100,17.02,snow
154,Nyaunglebin,MM,17.95,96.7333,68.43,86,24,2.08,few clouds
155,Bom Jesus,BR,-9.0744,-44.3586,78.28,61,78,3.74,broken clouds
156,Husavik,IS,66.0449,-17.3389,25.52,94,93,3.6,light snow
157,Sao Francisco Do Sul,BR,-26.2433,-48.6381,82.31,83,100,6.91,overcast clouds
158,Puerto Narino,CO,-3.7703,-70.3831,76.23,86,89,3.38,overcast clouds
159,Whitehorse,CA,60.7161,-135.0538,25.57,86,20,16.11,few clouds
160,Ucluelet,CA,48.9329,-125.5528,43.11,90,78,0.04,broken clouds
161,Carnarvon,AU,-24.8667,113.6333,72.59,71,0,13.73,clear sky
162,Taltal,CL,-25.4,-70.4833,68.16,81,24,1.39,few clouds
163,Touros,BR,-5.1989,-35.4608,78.62,76,20,11.63,few clouds
164,Mayo,US,38.8876,-76.5119,42.19,69,100,10.36,overcast clouds
165,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,75,4.61,broken clouds
166,Qasigiannguit,GL,68.8193,-51.1922,-0.89,68,84,5.82,broken clouds
167,Oktyabrskiy,RU,54.4815,53.471,15.51,73,33,10.45,scattered clouds
168,Gubkinskiy,RU,64.434,76.5026,-14.66,94,100,4.03,overcast clouds
169,Burnie,AU,-41.0667,145.9167,53.94,79,63,10.54,light rain
170,Port Augusta,AU,-32.5,137.7667,66.29,40,4,11.23,clear sky
171,Victoria,HK,22.2855,114.1577,60.24,69,89,15.01,overcast clouds
172,Taoudenni,ML,22.6783,-3.9836,77.95,27,7,3.38,clear sky
173,Port Moresby,PG,-9.4431,147.1797,81.82,78,40,5.75,scattered clouds
